Entry	Gene names	Length
A6H8Y1	BDP1 KIAA1241 KIAA1689 TFNR	2624
O60885	BRD4 HUNK1	1362
P22223	CDH3 CDHP	829
P09871	C1S	688
Q9ULX7	CA14 UNQ690/PRO1335	337
Q01518	CAP1 CAP	475
O60341	KDM1A AOF2 KDM1 KIAA0601 LSD1	852
P12532	CKMT1A CKMT; CKMT1B CKMT	417
Q8NBR6	MINDY2 FAM63B KIAA1164	621
P14618	PKM OIP3 PK2 PK3 PKM2	531
Q9HCJ2	LRRC4C KIAA1580 NGL1 UNQ292/PRO331	640
P48059	LIMS1 PINCH PINCH1	325
Q9UHB6	LIMA1 EPLIN SREBP3 PP624	759
P16581	SELE ELAM1	610
P61326	MAGOH MAGOHA	146
Q9Y316	MEMO1 C2orf4 MEMO NS5ATP7 CGI-27	297
Q9NVC6	MED17 ARC77 CRSP6 DRIP77 DRIP80 TRAP80	651
O75970	MPDZ MUPP1	2070
P53602	MVD MPD	400
P08237	PFKM PFKX	780
Q13113	PDZK1IP1 MAP17	114
O00151	PDLIM1 CLIM1 CLP36	329
Q01813	PFKP PFKF	784
Q96JY6	PDLIM2 PP6345	352
P00558	PGK1 PGKA MIG10 OK/SW-cl.110	417
P50479	PDLIM4 RIL	330
L8E853	VWF	2715
Q9MYI6	HLA-B57 HLA-B	362
A4FUT8	JMJD1B	1551
A0A0C4DFX6	NPC1L1	1332
Q9UL77		108
Q7Z4W8		128
Q6TXQ4		107
Q9TQB0	HLA-DPA1	74
F4NBQ1	HLA-B	337
Q66K91	SNRPB hCG_2039421	231
B9EE38	NADH3	116
B7Z5N5	SMAD2	431
V9H1G0		27
Q6PJG0		235
A0A024RAV5	KRAS hCG_14731	188
Q6PIK1	IGL@	235
A0A087X2I1	PSMC6	403
A0A075B5G3		99
A0A3B3ITX3	GNAI1	60
G9GAG7	CTNNB1	71
Q8N355	IGL@	234
E7EWM1	NCOA2	946
Q2YD82	TRA@	241
Q9BUK0	CHCHD7	85
Q96HC4	PDLIM5 ENH L9	596
Q9NR12	PDLIM7 ENIGMA	457
O15055	PER2 KIAA0347	1255
Q8NBL1	POGLUT1 C3orf9 CLP46 KTELC1 MDSRP MDS010 UNQ490/PRO1006	392
P36871	PGM1	562
O15530	PDPK1 PDK1	556
Q86YL7	PDPN GP36 PSEC0003 PSEC0025	162
P00439	PAH	452
O00764	PDXK C21orf124 C21orf97 PKH PNK PRED79	312
Q96QT6	PHF12 KIAA1523	1004
P20142	PGC	388
Q86YI8	PHF13	300
Q9HAT8	PELI2	420
Q5T6S3	PHF19 PCL3	580
Q9H5P4	PDZD7 PDZK7	1033
O43189	PHF1 PCL1	567
P12955	PEPD PRD	493
Q9BVI0	PHF20 C20orf104 GLEA2 HCA58 NZF TZP	1012
Q9BRX2	PELO CGI-17	385
Q9BUL5	PHF23	403
Q9C0D0	PHACTR1 KIAA1733 RPEL1	580
Q9UPV7	PHF24 KIAA1045	400
O75151	PHF2 CENP-35 KIAA0662	1096
P43116	PTGER2	358
P43115	PTGER3	390
Q92576	PHF3 KIAA0244	2039
Q7RTV0	PHF5A	110
P35408	PTGER4 PTGER2	488
Q8IWS0	PHF6 CENP-31 KIAA1823	365
O60437	PPL KIAA0568	1756
Q9H814	PHAX RNUXA	394
Q15121	PEA15	130
Q9H792	PEAK1 KIAA2002	1746
Q9UPP1	PHF8 KIAA1111 ZNF422	1060
P18669	PGAM1 PGAMA CDABP0006	254
Q9NZ42	PSENEN PEN2 MDS033	101
Q99623	PHB2 BAP REA	299
Q96HS1	PGAM5	289
Q13951	CBFB	182
P30086	PEBP1 PBP PEBP	187
P78364	PHC1 EDR1 PH1	1004
P01210	PENK	267
Q8WWQ0	PHIP DCAF14 WDR11	1821
Q8NDX5	PHC3 EDR3 PH3	983
P16284	PECAM1	738
Q9P0L9	PKD2L1 PKD2L PKDL TRPP3	805
Q9H4B4	PLK3 CNK FNK PRK	646
Q9BY49	PECR SDR29C1 PRO1004	303
P98160	HSPG2	4391
P15735	PHKG2	406
P16112	ACAN AGC1 CSPG1 MSK16	2530
P36955	SERPINF1 PEDF PIG35	418
P52945	PDX1 IPF1 STF1	283
Q99447	PCYT2	389
P0DJD7	PGA4	388
Q86TG7	PEG10 EDR KIAA1051e MAR2 MART2 MEF3L1 RGAG3	708
P42785	PRCP PCP	496
Q6L8Q7	PDE12	609
Q9GZU2	PEG3 KIAA0287 ZSCAN24	1588
Q01064	PDE1B PDE1B1 PDES1B	536
Q9NZQ7	CD274 B7H1 PDCD1L1 PDCD1LG1 PDL1	290
Q9BQ51	PDCD1LG2 B7DC CD273 PDCD1L2 PDL2	273
Q9Y5Y4	PTGDR2 CRTH2 DL1R GPR44	395
O00408	PDE2A	941
Q14432	PDE3A	1141
Q13370	PDE3B	1112
P27815	PDE4A DPDE2	886
Q9Y6V0	PCLO ACZ KIAA0559	5142
Q07343	PDE4B DPDE4	736
Q9BUL8	PDCD10 CCM3 TFAR15	212
Q08493	PDE4C DPDE1	712
Q15154	PCM1	2024
Q08499	PDE4D DPDE3	809
O76074	PDE5A PDE5	875
Q8WUM4	PDCD6IP AIP1 ALIX KIAA1375	868
P51160	PDE6C PDEA2	858
Q15116	PDCD1 PD1	288
O43924	PDE6D PDED	150
Q53EL6	PDCD4 H731	469
P12004	PCNA	261
O14737	PDCD5 TFAR19	125
Q13946	PDE7A	482
O75340	PDCD6 ALG2	191
O60658	PDE8A	829
Q8N4E4	PDCL2	241
Q8NBP7	PCSK9 NARC1 PSEC0052	692
O76083	PDE9A	593
Q9Y233	PDE10A	779
Q15113	PCOLCE PCPE1	449
P04085	PDGFA PDGF1	211
P01127	PDGFB PDGF2 SIS	241
P48539	PCP4 PEP19	62
P63128	ERVK-9	1117
Q99697	PITX2 ARP1 RGS RIEG RIEG1	317
O75051	PLXNA2 KIAA0463 OCT PLXN2 UNQ209/PRO235	1894
Q9HCM2	PLXNA4 KIAA1550 PLXNA4A PLXNA4B UNQ2820/PRO34003	1894
Q96J94	PIWIL1 HIWI	861
O43157	PLXNB1 KIAA0407 PLXN5 SEP	2135
Q5SRE7	PHYHD1	291
O15031	PLXNB2 KIAA0315	1838
Q8TC59	PIWIL2 HILI	973
O60486	PLXNC1 VESPR	1568
Q8NG27	PJA1 RNF70	643
Q9Y4D7	PLXND1 KIAA0620	1925
P53350	PLK1 PLK	603
Q9NYY3	PLK2 SNK	685
Q99570	PIK3R4 VPS15	1358
Q8NEB9	PIK3C3 VPS34	887
P48426	PIP4K2A PI5P4KA PIP5K2 PIP5K2A	406
O00444	PLK4 SAK STK18	970
P42336	PIK3CA	1068
P78356	PIP4K2B PIP5K2B	416
Q5T2W1	PDZK1 CAP70 NHERF3 PDZD1	519
Q8TBX8	PIP4K2C PIP5K2C	421
O43678	NDUFA2	99
O00483	NDUFA4	81
Q9ULU4	ZMYND8 KIAA1125 PRKCBP1 RACK7	1186
Q16718	NDUFA5	116
P08473	MME EPN	750
E5BBQ0		182
Q96HX7	HSP90AA1	422
Q59FX0		1055
Q6PJ56	TRA@	296
H6VRG1	KRT1	645
Q68CN4	DKFZp686E23209	470
F5H747	UBC	160
Q9H2A1		29
Q6MZW0	DKFZp686J11235	506
Q6S4P3	FTL	191
F6IQS1	HLA-A	337
Q8WLS4	HLA-A	317
A0A583ZBQ2		362
A0A0M3KKW8	HIV-1 Env	353
D9J307	HLA-B	362
O19705	HLA-DQA1	226
D9IWL3	PRMD9	506
A0A5A3	TCRBV6S4A1	116
O19626	B-3501	322
Q8N2U3	PRSS3	251
S6C4R2		275
Q5NV90	V2-17	97
A0A0G2JMB4	TRBC2	179
U5YJK1	HLA-A	337
A2NI60		108
Q6N030	DKFZp686I15212	518
C9JJ19	MRPS34	225
B4DVU3	EIF3C EIF3S8	761
A2NUT2		235
A0A5H2UYS3	HLA-A	367
A0A5B8RNS7	HLA-A	337
A2KBC1		236
Q30069	HLA-DQA1	227
A0A592	TCRBV6S1A1N1	116
Q6N095	DKFZp686K03196	475
K7N5M3	B2M HDCMA22P	220
Q05C46	CASC5	422
Q56H30	HLA-B	295
A0A580	TRBV9 TCRBV1S1A1N1	114
B5MDL5	MAPK12 hCG_2039437	277
A0A2R7Z5J3	HLA-B	362
D3DSX2	FGFR1 hCG_23105	386
Q5EBM2		519
B7ZMF2	FANCI	1328
A0A0C4DFN3	MGLL	313
F5H388	UBC	155
S6B2B6		275
